"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4933423P22Rik",5.96531716627745e-55,0.306377261515996,0.511,0.254,1.51650293001105e-50
"Cyb561",6.18182678625391e-55,0.282725713401836,0.395,0.156,1.57154400560147e-50
"Tead1",1.26546732238111e-54,0.438764424411369,0.524,0.269,3.21707102695726e-50
"Zfp365",1.31748553411743e-54,0.375472558741615,0.653,0.398,3.34931172483334e-50
"Mfap3l",2.17203587426415e-54,0.409370996252075,0.484,0.244,5.52174959955433e-50
"Areg",3.16272648288004e-54,0.266928945766699,0.139,0.004,8.04028326477764e-50
"Gabarapl2",3.17633561411643e-54,0.31214766835585,0.623,0.338,8.07488039820678e-50
"Rps24",3.94539956719779e-54,0.275341843366329,0.555,0.272,1.00299947797302e-49
"Atp2b1",4.64146028867402e-54,0.41067398004892,0.993,0.982,1.17995203458671e-49
"Sstr2",9.43815494495515e-54,0.379148619973505,0.313,0.107,2.3993677501065e-49
"Ext1",1.1405877215632e-53,0.517247205188185,0.986,0.967,2.89960210575797e-49
"Lrp8",1.29195377931484e-53,0.341156571516977,0.705,0.446,3.28440489777418e-49
"Hnrnpk",1.41016670354087e-53,0.328168933238305,0.714,0.436,3.5849257937416e-49
"Tmeff1",1.60785776081922e-53,0.411329957456321,0.624,0.376,4.08749599955462e-49
"Rpsa",2.04164210427914e-53,0.267264899254162,0.443,0.192,5.19026255749842e-49
"Rbms3",2.33962610403223e-53,0.575703846427456,0.601,0.37,5.94779748167073e-49
"Errfi1",2.483830598495e-53,0.30365115288497,0.442,0.195,6.31439414749399e-49
"Lncpint",2.62730765209952e-53,0.340302139022342,0.997,0.984,6.67914151316739e-49
"Ubxn4",3.0859004095602e-53,0.354790565870023,0.772,0.535,7.84497602118395e-49
"Plce1",3.29294313075084e-53,0.311330461721434,0.184,0.027,8.37132002699478e-49
"Dnaja4",4.70555061802621e-53,0.288141479569247,0.337,0.124,1.19624507811462e-48
"C230038L03Rik",4.87028600975232e-53,0.271755870919329,0.436,0.19,1.23812410939924e-48
"Glce",5.23505457801264e-53,0.31885889646431,0.547,0.284,1.33085557482237e-48
"Tex14",5.35137607979011e-53,0.331622619903875,0.185,0.027,1.36042682700424e-48
"Atp8a1",6.4196601337317e-53,0.396702089159243,0.977,0.943,1.63200599919727e-48
"Lipe",8.21006303131056e-53,0.267324295502846,0.471,0.216,2.08716222381977e-48
"Gm41505",1.26906931684948e-52,0.332946356109034,0.604,0.344,3.22622801729476e-48
"Mdh1",1.34348494879705e-52,0.345836549317534,0.781,0.534,3.41540743683187e-48
"Col5a3",1.40174496260336e-52,0.251624037557643,0.153,0.011,3.56351604393027e-48
"Trim32",1.82630006803517e-52,0.275273199037013,0.448,0.199,4.642820032959e-48
"Plcl1",2.02741947010983e-52,0.822759734208917,0.732,0.573,5.1541057769132e-48
"Rab3a",2.13537735314403e-52,0.330238503228659,0.502,0.255,5.42855630716276e-48
"Atp6v1g2",2.39863884061059e-52,0.37082297641176,0.574,0.321,6.09781966060023e-48
"Gde1",3.10322015904031e-52,0.396469189600517,0.665,0.413,7.88900628831229e-48
"Stac",3.29972708406257e-52,0.298868939055073,0.204,0.038,8.38856619310386e-48
"Rpl11",3.5839125113283e-52,0.283902038894344,0.56,0.287,9.11102238629879e-48
"Syne3",6.10978994454685e-52,0.257926404875477,0.162,0.016,1.5532307997027e-47
"Nrip3",6.23227188332734e-52,0.253001282036778,0.433,0.183,1.58436815817948e-47
"Apba1",7.55826344452196e-52,0.391370815833134,0.936,0.847,1.92146173286637e-47
"Atp6v1e1",9.44664401583458e-52,0.290982079110611,0.584,0.319,2.40152584170547e-47
"Olfr113",1.13683892000655e-51,0.259391674873057,0.138,0.005,2.89007190244065e-47
