"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gdpd5",2.79714708549131e-122,0.504682998396328,0.539,0.193,7.11090732073601e-118
"Herc3",1.41372646424575e-120,0.633857391994453,0.91,0.765,3.59397541740554e-116
"Prex1",1.47428208146471e-120,0.759516718439129,0.655,0.364,3.74791990749959e-116
"Ddi2",5.28964721726246e-119,0.595722251986025,0.734,0.439,1.34473411557246e-114
"Rap1gap",3.70048973459326e-118,0.540608380764197,0.843,0.579,9.40738500328298e-114
"Nfasc",2.61817843080266e-117,0.495855504393227,0.941,0.829,6.65593320678653e-113
"Lrrfip1",3.21418949067735e-117,0.533927730164479,0.922,0.797,8.17111252319997e-113
"2610035D17Rik",1.44579255099384e-114,0.594755616258585,0.75,0.471,3.67549382313654e-110
"Plxna4os3",2.14000964543201e-114,0.538046543983652,0.567,0.238,5.44033252061726e-110
"Sccpdh",1.39062402680874e-113,0.48854148865968,0.393,0.089,3.53524440095319e-109
"Sdk1",1.18992828831912e-112,0.907296240145288,0.744,0.458,3.02503569456486e-108
"Bdnf",1.62571313651232e-112,0.613470027313258,0.575,0.241,4.13288793564161e-108
"Unc13b",4.00491797571753e-111,0.588168840487105,0.911,0.748,1.01813024778691e-106
"Khdrbs3",1.35486256282419e-110,0.508081123390603,0.976,0.907,3.44433160721165e-106
"Clstn2",1.97918233847465e-110,0.782977194121617,0.961,0.909,5.03147734087026e-106
"Car12",7.46150420266977e-110,0.635230038447499,0.348,0.065,1.89686359840271e-105
"Znrf3",1.51220357557578e-109,0.565533446804833,0.751,0.48,3.84432392982875e-105
"Dhps",2.92730194431773e-109,0.565807861838191,0.653,0.341,7.44178700284452e-105
"Mthfd1l",4.58449626736863e-109,0.675059917932496,0.669,0.384,1.16547064109045e-104
"Dip2b",2.07280863756583e-108,0.487199927411284,0.964,0.875,5.26949411841984e-104
"Hagh",3.53900377230268e-108,0.515489186090276,0.675,0.361,8.99685538994788e-104
"5430405H02Rik",5.73540148803407e-108,0.481577420409867,0.565,0.243,1.45805376628802e-103
"Pik3r6",2.76974009776963e-107,0.411181688882404,0.267,0.015,7.04123327654995e-103
"Nucb2",7.89600862175767e-107,0.491772674790085,0.452,0.145,2.00732331182323e-102
"Stac2",1.07425214104856e-105,0.444711080561953,0.476,0.157,2.73096379297365e-101
"Caln1",1.62035243879773e-105,0.703313483156161,0.911,0.764,4.11925996991158e-101
"Dgki",2.19347866291574e-105,0.481625891662781,0.988,0.972,5.57626145686438e-101
"Gm28578",2.92179255880052e-105,0.455411113597647,0.361,0.078,7.42778104298269e-101
"Acp6",2.56262843568923e-103,0.621209970504829,0.411,0.13,6.51471400920916e-99
